canonical,category,status,role,backends,genuine_usable,semantic_golden_verified,source_contract_verified,parameter_injectivity_passed,blockers
intra_bar_range_persistence,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_beta_asymmetry,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_bipower_variation,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_close_participation,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_concentration,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_continuous_variance,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_down_down_semibeta,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_down_up_semibeta,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_drawdown_depth,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_drawdown_duration,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_drawdown_recovery_half_life,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_entropy,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,True,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED
intra_extreme_bar_return,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_high_low_affinity,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_high_time,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_idiosyncratic_kurtosis,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_idiosyncratic_kurtosis_ex_self,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_idiosyncratic_skewness,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_idiosyncratic_skewness_ex_self,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_idiosyncratic_variance,,production,,pandas_numpy;polars,False,,,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_idiosyncratic_variance_ex_self,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_industry_lead_lag_ex_self,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_interval_amount_share,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_interval_illiquidity,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_interval_realized_variance,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_interval_return,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_interval_volume_share,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_interval_vwap_deviation,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_clustering,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_concentration,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_count,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_first_time,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_last_time,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_ratio,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_jump_variation,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_kyle_lambda_proxy,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
intra_limit_duration,intraday_microstructure,experimental,,pandas_numpy;polars,False,False,False,False,UNCERTIFIED_SEMANTIC_GOLDEN|SOURCE_PIT_UNCERTIFIED|NOT_PRODUCTION_CERTIFIED|DEAD_OR_UNPROVEN_SEARCHABLE_PARAMETER
