canonical,model_like,execution_class,lane,legacy_local_predictive
event_allan_log_mean,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_allan_scaling_slope,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_arithmetic_return_sum,True,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_cluster_count,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_cluster_mean_size,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_cumulative_return_past,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_decay_asof,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_fano_excess,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_fano_factor,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_frequency,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_hawkes_branching_ratio_proxy,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_historical_response_mean,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_historical_response_sign_balance,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_interval_mark_coupling,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_interval_memory,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_level_survival_share,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_local_variation,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_log_return_sum,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_mark_autocorr,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_refractory,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_response_decay_rate,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_response_dispersion,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_response_effective_events,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_response_overlap_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_response_peak_lag,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_response_reversal_strength,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
event_return_since_last,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
exp,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
exp_neg,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
expanding_rank,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ffill_limit,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fillna_const,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_accrual_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_acquisition_cash_intensity,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_actual_expectation_divergence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_announcement_lag,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_applicability_mask,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_average_balance,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_beat_streak,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_borrowing_intensity,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cagr,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_capex_growth,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_capex_intensity,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cash_burn_runway,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cash_conversion,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cash_earnings_gap,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cash_sales_divergence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cashflow_persistence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_common_size,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_component_score,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_comprehensive_income_gap,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_contract_asset_growth,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_contract_asset_intensity,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_contract_asset_liability_gap,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_contract_liability_growth,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_contract_liability_intensity,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_core_earnings_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_cv,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_days_since_expectation_revision,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_days_since_update,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_debt_repayment_intensity,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_debt_service_coverage_proxy,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_deferred_tax_gap,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_delta_noa,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_diff,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_discontinued_operation_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_divergence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_earnings_cash_gap_volatility,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_earnings_persistence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_earnings_smoothness,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_equity_capital_growth,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expectation_dispersion,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expectation_revision,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expectation_revision_count,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expectation_revision_magnitude,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expectation_revision_pct,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expectation_revision_speed,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_expense_sales_divergence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_fair_value_income_dependence,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_financing_gap,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
fin_fundamental_strength_coverage,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
