canonical,family,true_model_type,semantic_role,surface,lane,timing_kind,explicit_timing,feature_inputs,label_input,label_horizon,stateful,checkpointable,missing_policy,window_semantics,min_history,min_effective_obs,input_units,output_unit,parameter_domain_certified,oracle_required,oracle_pass,causality_pass,future_poison_pass,label_poison_pass,missing_gap_pass,unit_contract_pass,backend_parity_pass,batch_single_parity_pass,optimized_reference_parity_pass,performance_lane,default_searchable,final_direct_use_ready,failure_reasons,evidence_sha
state_hold,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_latch,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_since_count,state,state,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_since_last,state,state,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_since_mean,state,state,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_since_sum,state,state,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_since_trend_tstat,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_slew_limit,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
tradable_state,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
ts_active_information_storage,generic,statistical_estimator,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
ts_ar_coeff_stability,ar,ar,,daily,FAST_NATIVE_ALPHA,prior_fit_predictive,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,fast,true,False,no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
ts_ar_coefficient,ar,ar,,daily,FAST_NATIVE_ALPHA,self_fit_descriptive,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,fast,true,False,no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
ts_ar_fitted_value,ar,ar,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
ts_ar_forecast,ar,ar,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
ts_ar_in_sample_resid,ar,ar,,extended,DIAGNOSTIC_RESEARCH,self_fit_descriptive,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
