canonical	module	panels	scalars	specs	reason
event_streak	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ex_self_mad_z	factor_engine.cleaned_operators.technical.exself_cs_v1			min_peers	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ex_self_mean_gap	factor_engine.cleaned_operators.technical.exself_cs_v1			min_peers	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ex_self_rank_pct	factor_engine.cleaned_operators.technical.exself_cs_v1			min_peers	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
ex_self_zscore	factor_engine.cleaned_operators.technical.exself_cs_v1			min_peers	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
garman_klass_vol	factor_engine.cleaned_operators.price_volume.technical_extensions	open,high,low,close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
high_low_spread_proxy	factor_engine.cleaned_operators.price_volume.liquidity_v2	high,low,window			MISSING_AUTHORITATIVE_PARAM_SPEC
hump_decay	factor_engine.cleaned_operators.technical.signal				MISSING_AUTHORITATIVE_PARAM_SPEC
idio_skew	factor_engine.cleaned_operators.price_volume.ops				MISSING_AUTHORITATIVE_PARAM_SPEC
idio_vol	factor_engine.cleaned_operators.price_volume.ops				MISSING_AUTHORITATIVE_PARAM_SPEC
intraday_volatility	factor_engine.cleaned_operators.price_volume.technical_extensions	open,close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
negative_event_age	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
negative_event_rate	factor_engine.cleaned_operators.technical.event_state_derivations_v1			window	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
overnight_volatility	factor_engine.cleaned_operators.price_volume.technical_extensions	open,close,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
parkinson_vol	factor_engine.cleaned_operators.price_volume.technical_extensions	high,low,window			NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
pattern_123_bear	factor_engine.cleaned_operators.price_volume.structure_patterns_extra_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
pattern_123_bull	factor_engine.cleaned_operators.price_volume.structure_patterns_extra_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
pattern_ascending_triangle	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
pattern_bear_flag	factor_engine.cleaned_operators.price_volume.structure_patterns_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
pattern_bear_pennant	factor_engine.cleaned_operators.price_volume.structure_patterns_extra_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
pattern_breakdown_retest	factor_engine.cleaned_operators.price_volume.structure_patterns_extra_v2				NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC
