canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
cs_impute_median,daily,,,,,['x'],OK
cs_isolation,daily,,,,,['x'],OK
cs_isolation_forest_score,extended,,,,,['x'],OK
cs_isotonic_residual,daily,,,,,"['y', 'x']",OK
cs_isotonic_residual_lagged_direction,extended,,,,,"['y', 'x']",OK
cs_knn_distance,daily,,,,,[],OK
cs_knn_graph_dirichlet_energy,daily,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_local_gradient_norm,extended,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_local_linear_residual,extended,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_local_moran,daily,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_neighbor_retention,daily,,,,,"['f1', 'f2', 'f3']",OK
cs_knn_peer_mean_ex_self,daily,,,,,"['target', 'f1', 'f2', 'f3']",OK
cs_knn_tangent_residual,extended,,,,,"['f1', 'f2', 'f3']",OK
cs_lad_resid,daily,,,,,"['y', 'x']",OK
cs_local_curvature,daily,,,,,['x'],OK
cs_local_density,daily,,,,,['x'],OK
cs_local_density_score,daily,,,,,[],OK
cs_mad,daily,,,,,['x'],OK
cs_mad_zscore,daily,,,,,['x'],OK
cs_mahalanobis_distance,daily,,,,,[],OK
cs_mean,daily,,,,,['x'],OK
cs_multi_resid,daily,,,,,['y'],OK
cs_multi_ridge_resid,extended,,,,,[],OK
cs_neighbor_gap,daily,,,,,['x'],OK
cs_neutralize,daily,,,,,"['y', 'exposures']",OK
cs_pct_rank,daily,,,,,['x'],OK
cs_physical_panel_coverage,extended,,,,,[],OK
cs_predictability_mosaic_score,extended,,,,,"['base_signal', 'realized_return', 'state_feature']",OK
cs_quantile,daily,,,,,['x'],OK
cs_quantile_resid,daily,,,,,[],OK
cs_rank_churn,daily,,,,,['x'],OK
cs_rank_combined_churn,extended,,,,,['x'],OK
cs_rank_composition_churn,extended,,,,,['x'],OK
cs_rank_copula_entropy,extended,,,,,"['a', 'b']",OK
cs_rank_copula_mi,extended,,,,,"['a', 'b']",OK
cs_rank_gaussian,daily,,,,,['x'],OK
cs_regression,daily,,,,,"['y', 'x']",OK
cs_relative_density_ratio,daily,,,,,[],OK
cs_resid,daily,,,,,"['y', 'x']",OK
cs_residual_percentile,daily,,,,,[],OK
cs_ridge_resid,daily,,,,,[],OK
cs_robust_mahalanobis_mad,daily,,,,,[],OK
cs_shrink_to_group_mean,extended,,,,,"['x', 'group']",OK
cs_shrinkage_mahalanobis,daily,,,,,[],OK
cs_sliced_wasserstein_copula_shift,extended,,,,,"['f1', 'f2', 'f3']",OK
cs_spline_resid,daily,,,,,[],OK
cs_std,daily,,,,,['x'],OK
cs_sum,daily,,,,,['x'],OK
cs_tail_breadth,extended,,,,,['x'],OK
cs_tail_retention,daily,,,,,['x'],OK
cs_trimmed_ols_resid,extended,,,,,"['y', 'x']",OK
cs_universe_coverage,extended,,,,,[],OK
cs_valid_count,daily,,,,,['x'],OK
cs_weighted_demean,daily,,,,,['x'],OK
cs_weighted_mean,daily,,,,,['x'],OK
cs_weighted_percentile_rank,daily,,,,,[],OK
cs_weighted_zscore,daily,,,,,['x'],OK
cs_wls_resid,daily,,,,,"['y', 'x', 'weight']",OK
date_diff_days,daily,,,,,"['left', 'right']",OK
dema_distance_pct,daily,,,,,[],OK
digital_count,daily,,,,,['x'],OK
directional_change_extent,daily,,,,,['price'],OK
directional_change_state,daily,,,,,['price'],OK
divide,daily,,,,,[],OK
dollar_volume,daily,,,,,[],OK
dollar_volume_zscore,daily,,,,,[],OK
donchian_breakout_down,daily,,,,,[],OK
donchian_breakout_up,daily,,,,,[],OK
donchian_channel_position,daily,,,,,[],OK
donchian_lower,daily,,,,,[],OK
donchian_mid,daily,,,,,[],OK
donchian_position,daily,,,,,[],OK
donchian_upper,daily,,,,,[],OK
donchian_width_pct,daily,,,,,[],OK
down_volume_ratio,daily,,,,,[],OK
earnings_yield,daily,,,,,['pe'],OK
efficiency_ratio,daily,,,,,[],OK
ema_crossover,daily,,,,,[],OK
ema_distance_pct,daily,,,,,[],OK
ep1_earnings_autocorr,extended,,,,,['earnings'],OK
ep1_earnings_consistency,extended,,,,,['earnings'],OK
ep1_earnings_surprise_decay,extended,,,,,['earnings'],OK
ep1_roa_stability,extended,,,,,['roa'],OK
eq,daily,,,,,"['x', 'y']",OK
erd_burst_duration,extended,,,,,['event'],OK
erd_cross_events_spacing,extended,,,,,['event'],OK
erd_event_rate_decay_slope,extended,,,,,['event'],OK
erd_event_response_amplitude,extended,,,,,['mark'],OK
erd_event_window_return_gradient,extended,,,session_close,False,"['ret', 'event']",NEEDS_DECL
erd_half_life_decay_count,extended,,,,,['event'],OK
erd_marked_event_decay,extended,,,,,['mark'],OK
erd_post_event_hazard,extended,,,,,['event'],OK
erd_recency_decay,extended,,,,,['event'],OK
erd_sign_consistent_decay,extended,,,,,['mark'],OK
es1_earnings_cv,extended,,,,,['earnings'],OK
es1_earnings_mean_reversion_speed,extended,,,,,['earnings'],OK
es1_earnings_smoothness,extended,,,,,"['earnings', 'operating_cash_flow']",OK
es1_negative_earnings_streak,extended,,,,,['earnings'],OK
es1_revenue_earnings_divergence,extended,,,,,"['revenue', 'earnings']",OK
event_abnormal_return_past,daily,,,session_close,False,"['ret', 'benchmark_ret', 'event']",NEEDS_DECL
event_active_count,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_allan_factor,daily,,,,,[],OK
event_allan_log_mean,extended,,,,,[],OK
event_allan_scaling_slope,extended,,,,,[],OK
event_arithmetic_return_sum,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_cluster_count,daily,,,,,['condition'],OK
event_cluster_duration,extended,close_of_t,False,close_of_t,False,[],OK
event_cluster_mean_size,daily,,,,,['condition'],OK
event_cluster_score,daily,,,,,[],OK
event_cumulative_return_past,daily,,,session_close,False,"['ret', 'event']",NEEDS_DECL
event_decay_asof,daily,,,,,['event'],OK
event_decay_window,extended,close_of_t,False,close_of_t,False,[],OK
event_direction_imbalance,extended,close_of_t,False,close_of_t,False,[],OK
event_direction_persistence,extended,close_of_t,False,close_of_t,False,[],OK
event_fano_excess,extended,,,,,['event'],OK
event_fano_factor,daily,,,,,['event'],OK
event_flip_density,extended,close_of_t,False,close_of_t,False,[],OK
event_frequency,daily,,,,,['condition'],OK
event_hawkes_branching_ratio_proxy,extended,,,,,['event'],OK
