canonical,param,role,role_source
ts_spectral_quality_factor,window,horizon,rule
ts_state_entry_strength,missing_policy,missing_policy,rule
ts_state_integral,missing_policy,missing_policy,rule
ts_structural_level_density,max_pivot_age,policy,authored
ts_structural_level_strength,cutoff,state_threshold,rule
ts_structural_level_strength,max_pivot_age,policy,authored
ts_sum_decay,window,horizon,authored
ts_support_break,left_window,horizon,rule
ts_support_break,right_window,horizon,rule
ts_support_level,left_window,horizon,rule
ts_support_level,right_window,horizon,rule
ts_support_slope,left_window,horizon,rule
ts_support_slope,right_window,horizon,rule
ts_topk_sum,d,horizon,authored
ts_topk_sum,k,economic,authored
ts_transfer_entropy,window,horizon,rule
ts_transfer_entropy,bins,estimator_resolution,authored
ts_transfer_entropy,lag,horizon,rule
ts_transfer_entropy,min_cells_ratio,estimator_resolution,authored
ts_transfer_entropy_peak_excess,window,horizon,rule
ts_transfer_entropy_peak_excess,bins,estimator_resolution,authored
ts_transfer_entropy_peak_excess,min_cells_ratio,estimator_resolution,authored
ts_transfer_entropy_peak_excess,n_surrogates,numerical,authored
ts_transfer_entropy_peak_excess,seed,numerical,authored
ts_transfer_entropy_peak_lag,window,horizon,rule
ts_transfer_entropy_peak_lag,bins,estimator_resolution,authored
ts_transfer_entropy_peak_lag,min_cells_ratio,estimator_resolution,authored
ts_transfer_entropy_peak_strength,window,horizon,rule
ts_transfer_entropy_peak_strength,bins,estimator_resolution,authored
ts_transfer_entropy_peak_strength,min_cells_ratio,estimator_resolution,authored
ts_trimmed_mean,window,horizon,rule
ts_trimmed_mean,min_periods,estimator_resolution,authored
ts_two_state_regime_probability,window,horizon,rule
ts_two_state_regime_probability,transition_prob,policy,authored
ts_valid_count,window,horizon,rule
ts_valid_count,min_periods,policy,authored
ts_vol_pvariation_roughness,min_pairs,estimator_resolution,authored
ts_vol_pvariation_roughness,min_pair_fraction,estimator_resolution,authored
ts_vol_scaling_break,min_pairs,estimator_resolution,authored
ts_vol_scaling_break,min_pair_fraction,estimator_resolution,authored
ts_wavelet_lowpass_reconstruct,window,horizon,rule
ts_wavelet_lowpass_reconstruct,level,model_order,rule
ts_weighted_permutation_entropy,order,estimator_resolution,authored
ts_weighted_permutation_entropy,delay,estimator_resolution,authored
ts_weighted_standardized_moment,order,model_order,rule
turnover_autocorr,window,horizon,rule
turnover_autocorr,lag,horizon,rule
update_acceleration,missing_policy,missing_policy,rule
update_direction_persistence,missing_policy,missing_policy,rule
update_path_efficiency,missing_policy,missing_policy,rule
update_surprise,missing_policy,missing_policy,rule
valuation_growth_mismatch,scale,NONE,authored
volume_autocorr,window,horizon,rule
volume_autocorr,lag,horizon,rule
zero_return_ratio,epsilon,numerical,authored
