date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret
2023-11-08,5.54436883,1.58123991,3.50634258,0.00584093,0.00295839
2023-11-09,5.48429048,1.58189309,3.46691602,-0.01083592,0.00041308
2023-11-10,5.49271801,1.57027769,3.49792781,0.00153667,-0.00734272
2023-11-13,5.4802715,1.57174725,3.4867384,-0.002266,0.00093586
2023-11-14,5.51888074,1.57823977,3.49685823,0.00704513,0.00413077
2023-11-15,5.52975094,1.59127358,3.47504729,0.00196964,0.00825845
2023-11-16,5.50723543,1.57815328,3.48967081,-0.0040717,-0.00824516
2023-11-17,5.4874123,1.57161726,3.49157041,-0.00359947,-0.00414156
2023-11-20,5.50546501,1.57737955,3.49026016,0.00328984,0.00366648
2023-11-21,5.48375132,1.58665056,3.45618087,-0.00394403,0.00587747
2023-11-22,5.42259589,1.56530709,3.46423775,-0.01115212,-0.01345191
2023-11-23,5.4116016,1.55757068,3.47438589,-0.00202749,-0.00494242
2023-11-24,5.39238785,1.55323063,3.47172387,-0.00355048,-0.00278643
2023-11-27,5.34321533,1.53746383,3.47534377,-0.00911888,-0.01015097
2023-11-28,5.36586046,1.54029208,3.48366426,0.00423811,0.00183956
2023-11-29,5.37908062,1.5382669,3.49684482,0.00246375,-0.0013148
2023-11-30,5.34480418,1.52912055,3.4953452,-0.00637217,-0.00594588
2023-12-01,5.35659419,1.53016118,3.50067318,0.00220588,0.00068054
2023-12-04,5.39924155,1.5377456,3.51114095,0.00796166,0.00495662
2023-12-05,5.28362682,1.51460387,3.4884546,-0.02141314,-0.01504913
2023-12-06,5.23835771,1.50808757,3.4735103,-0.00856781,-0.00430231
2023-12-07,5.24858512,1.50429461,3.48906729,0.00195241,-0.00251508
2023-12-08,5.26328409,1.51224009,3.48045534,0.00280056,0.00528186
2023-12-11,5.27386623,1.50487031,3.50453205,0.00201056,-0.00487342
2023-12-12,5.3527788,1.5240645,3.5121734,0.01496295,0.01275471
2023-12-13,5.3319582,1.5117926,3.52691118,-0.00388968,-0.00805209
2023-12-14,5.29499728,1.50456873,3.5192791,-0.00693196,-0.00477835
2023-12-15,5.25202972,1.49695131,3.50848399,-0.00811475,-0.00506285
2023-12-18,5.1834897,1.48004568,3.5022498,-0.0130502,-0.01129337
2023-12-19,5.16371487,1.47295598,3.50568174,-0.00381496,-0.00479019
2023-12-20,5.14430184,1.4661729,3.50865976,-0.00375951,-0.00460508
2023-12-21,5.0888583,1.45982184,3.48594477,-0.01077766,-0.00433173
2023-12-22,5.03082386,1.46472803,3.43464709,-0.01140422,0.00336081
2023-12-25,5.01103536,1.46454294,3.42156943,-0.00393345,-0.00012636
2023-12-26,4.97476635,1.45375189,3.42201884,-0.00723783,-0.00736821
2023-12-27,5.00164507,1.45366264,3.44071928,0.00540301,-6.139e-05
2023-12-28,5.00088552,1.48257753,3.37310219,-0.00015186,0.01989106
2023-12-29,5.09112834,1.50254547,3.38833563,0.01804537,0.01346839
2024-01-02,5.12608851,1.49809135,3.42174629,0.00686688,-0.00296438
2024-01-03,5.03335548,1.48377875,3.39225473,-0.01809041,-0.00955389
2024-01-04,4.9806131,1.4664822,3.39629973,-0.01047857,-0.01165709
2024-01-05,4.95703424,1.46090115,3.39313461,-0.00473413,-0.00380574
2024-01-08,4.84525558,1.43327371,3.3805515,-0.0225495,-0.01891123
2024-01-09,4.84150192,1.42621509,3.39465061,-0.00077471,-0.00492482
2024-01-10,4.81169073,1.41990864,3.38873264,-0.00615743,-0.00442181
2024-01-11,4.81302078,1.42742836,3.3718125,0.00027642,0.00529592
2024-01-12,4.80213608,1.43041981,3.35715153,-0.00226151,0.0020957
2024-01-15,4.80211676,1.42240289,3.37605948,-4.02e-06,-0.0056046
2024-01-16,4.79369343,1.4160677,3.38521487,-0.00175409,-0.00445387
2024-01-17,4.76417995,1.4052159,3.39035443,-0.00615673,-0.00766333
2024-01-18,4.63509851,1.37768944,3.36440011,-0.02709416,-0.01958878
2024-01-19,4.68579204,1.40015003,3.34663569,0.01093688,0.01630308
2024-01-22,4.57052964,1.36891196,3.33880466,-0.02459828,-0.02231051
2024-01-23,4.50587271,1.35470272,3.32609705,-0.01414649,-0.01037996
2024-01-24,4.53274361,1.36134228,3.32961349,0.00596353,0.00490112
2024-01-25,4.65914845,1.40045644,3.32687853,0.02788705,0.02873206
2024-01-26,4.68734215,1.41086769,3.32231165,0.00605125,0.00743418
2024-01-29,4.50346722,1.39348556,3.23180043,-0.03922797,-0.01232017
2024-01-30,4.41416835,1.36619471,3.23099504,-0.01982892,-0.01958459
2024-01-31,4.31379683,1.33025085,3.24284463,-0.02273849,-0.02630947
2024-02-01,4.29868285,1.32005287,3.25644748,-0.00350364,-0.00766621
2024-02-02,4.25782067,1.29603136,3.28527596,-0.00950574,-0.01819739
2024-02-05,4.12251502,1.25891273,3.27466307,-0.03177815,-0.02864023
2024-02-06,4.22678899,1.29903319,3.25379599,0.02529378,0.03186914
2024-02-07,4.52523738,1.3581598,3.33188876,0.07060877,0.04551586
2024-02-08,4.73652681,1.39263706,3.40112076,0.04669135,0.02538527
2024-02-19,4.89999734,1.40595941,3.48516274,0.03451274,0.00956628
2024-02-20,4.97418758,1.40931033,3.52951899,0.01514087,0.00238337
2024-02-21,4.97103151,1.43540774,3.46314945,-0.00063449,0.01851786
2024-02-22,4.99611907,1.44291657,3.46251416,0.00504675,0.00523115
2024-02-23,5.04908254,1.45496777,3.47023671,0.01060092,0.00835197
2024-02-26,5.06407548,1.46076087,3.46673819,0.00296944,0.0039816
2024-02-27,5.14703125,1.46914583,3.50341752,0.01638123,0.00574013
2024-02-28,5.1917082,1.48655692,3.49243822,0.00868014,0.01185116
2024-02-29,5.14583283,1.47629625,3.48563701,-0.00883628,-0.00690231
2024-03-01,5.23743607,1.50384113,3.48270571,0.01780144,0.0186581
2024-03-04,5.29157451,1.51348751,3.49627894,0.01033682,0.0064145
2024-03-05,5.34335005,1.51372725,3.52992923,0.00978452,0.0001584
2024-03-06,5.32221558,1.51065762,3.52311172,-0.00395529,-0.00202786
2024-03-07,5.35148975,1.50947386,3.54526825,0.00550037,-0.00078361
