date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2020-10-13,2.21209684,1.31533195,1.68177838,0.01708106,0.00826002,0.00882105
2020-10-14,2.24923549,1.31239943,1.71383455,0.01678889,-0.00222950,0.01901838
2020-10-15,2.24976466,1.31109214,1.71594703,0.00023527,-0.00099611,0.00123137
2020-10-16,2.22820522,1.30169337,1.71177428,-0.00958297,-0.00716866,-0.00241432
2020-10-19,2.20229114,1.30025750,1.69373462,-0.01163002,-0.00110308,-0.01052695
2020-10-20,2.21369317,1.29128353,1.71433548,0.00517735,-0.00690169,0.01207904
2020-10-21,2.21582652,1.29093055,1.71645680,0.00096371,-0.00027335,0.00123706
2020-10-22,2.16898230,1.28252764,1.69117782,-0.02114074,-0.00650919,-0.01463155
2020-10-23,2.13527511,1.27876422,1.66979579,-0.01554056,-0.00293438,-0.01260618
2020-10-26,2.08195881,1.26040942,1.65181153,-0.02496929,-0.01435354,-0.01061574
2020-10-27,2.12210436,1.26668559,1.67532052,0.01928259,0.00497947,0.01430312
2020-10-28,2.17917398,1.27473063,1.70951723,0.02689294,0.00635126,0.02054168
2020-10-29,2.20054234,1.27815335,1.72165754,0.00980571,0.00268505,0.00712067
2020-10-30,2.18105626,1.27775759,1.70694056,-0.00885513,-0.00030963,-0.00854550
2020-11-02,2.18117737,1.26835601,1.71968860,0.00005553,-0.00735788,0.00741341
2020-11-03,2.21012469,1.29002721,1.71323881,0.01327142,0.01708606,-0.00381464
2020-11-04,2.22319044,1.29725091,1.71377057,0.00591177,0.00559965,0.00031212
2020-11-05,2.28674155,1.31915509,1.73348954,0.02858555,0.01688507,0.01170047
2020-11-06,2.27499345,1.32422703,1.71797841,-0.00513749,0.00384484,-0.00898233
2020-11-09,2.30356149,1.35275715,1.70286403,0.01255742,0.02154473,-0.00898731
2020-11-10,2.32721022,1.35426708,1.71842781,0.01026616,0.00111619,0.00914997
2020-11-11,2.34954403,1.34056153,1.75265661,0.00959682,-0.01012027,0.01971709
2020-11-12,2.34366817,1.33057178,1.76139928,-0.00250085,-0.00745192,0.00495107
2020-11-13,2.31701554,1.32618563,1.74712762,-0.01137219,-0.00329644,-0.00807575
2020-11-16,2.32777237,1.33703685,1.74099343,0.00464253,0.00818228,-0.00353974
2020-11-17,2.32346243,1.33400936,1.74171374,-0.00185153,-0.00226433,0.00041280
2020-11-18,2.26577674,1.33607074,1.69585088,-0.02482747,0.00154525,-0.02637272
2020-11-19,2.26266003,1.33762401,1.69155160,-0.00137556,0.00116256,-0.00253812
2020-11-20,2.30069728,1.34906214,1.70540497,0.01681085,0.00855108,0.00825978
2020-11-23,2.32996877,1.36733791,1.70401827,0.01272288,0.01354702,-0.00082414
2020-11-24,2.31351154,1.37365064,1.68420665,-0.00706328,0.00461681,-0.01168009
2020-11-25,2.31324038,1.36807748,1.69086942,-0.00011721,-0.00405719,0.00393998
2020-11-26,2.25320473,1.34660271,1.67325130,-0.02595305,-0.01569705,-0.01025600
2020-11-27,2.26521714,1.35189423,1.67558755,0.00533126,0.00392954,0.00140172
2020-11-30,2.26706541,1.36971498,1.65513661,0.00081593,0.01318206,-0.01236612
2020-12-01,2.27733786,1.37416892,1.65724740,0.00453117,0.00325172,0.00127944
2020-12-02,2.30767055,1.38719976,1.66354595,0.01331936,0.00948271,0.00383665
2020-12-03,2.29262279,1.38205804,1.65884697,-0.00652075,-0.00370654,-0.00281421
2020-12-04,2.31812915,1.38148044,1.67800360,0.01112541,-0.00041793,0.01154334
2020-12-07,2.35743142,1.38577147,1.70116897,0.01695431,0.00310611,0.01384820
2020-12-08,2.39727319,1.38423851,1.73183535,0.01690050,-0.00110621,0.01800671
2020-12-09,2.40544520,1.37727234,1.74652836,0.00340888,-0.00503250,0.00844137
2020-12-10,2.39049416,1.35915342,1.75881112,-0.00621550,-0.01315565,0.00694015
2020-12-11,2.39857398,1.34830753,1.77895170,0.00337998,-0.00797989,0.01135987
2020-12-14,2.44071365,1.34812722,1.81044756,0.01756863,-0.00013373,0.01770236
2020-12-15,2.46986649,1.35717092,1.81986400,0.01194440,0.00670834,0.00523606
2020-12-16,2.47123546,1.35985788,1.81727480,0.00055427,0.00197983,-0.00142556
2020-12-17,2.48428386,1.36497353,1.82002348,0.00528011,0.00376189,0.00151822
2020-12-18,2.53853979,1.38424555,1.83387969,0.02183967,0.01411897,0.00772069
2020-12-21,2.61237008,1.39660159,1.87051920,0.02908376,0.00892619,0.02015758
2020-12-22,2.65055962,1.39129916,1.90509683,0.01461873,-0.00379666,0.01841539
2020-12-23,2.65200692,1.38204092,1.91890623,0.00054604,-0.00665439,0.00720042
2020-12-24,2.64555957,1.38416508,1.91130351,-0.00243112,0.00153697,-0.00396810
2020-12-25,2.63540580,1.38644489,1.90083704,-0.00383804,0.00164707,-0.00548511
2020-12-28,2.68034274,1.39408588,1.92265253,0.01705124,0.00551121,0.01154003
2020-12-29,2.64996731,1.38945575,1.90719806,-0.01133267,-0.00332127,-0.00801140
2020-12-30,2.68429669,1.39652406,1.92212706,0.01295464,0.00508711,0.00786753
2020-12-31,2.75070882,1.42114223,1.93556195,0.02474098,0.01762817,0.00711281
2021-01-04,2.87329304,1.44956751,1.98217263,0.04456459,0.02000171,0.02456288
2021-01-05,2.95463692,1.46910708,2.01117873,0.02831033,0.01347959,0.01483074
2021-01-06,2.97089082,1.47914679,2.00851656,0.00550115,0.00683388,-0.00133273
2021-01-07,3.02278083,1.48510338,2.03540095,0.01746615,0.00402705,0.01343910
2021-01-08,3.02638636,1.49397346,2.02572967,0.00119279,0.00597270,-0.00477991
2021-01-11,3.02651732,1.49708656,2.02160475,0.00004327,0.00208378,-0.00204051
2021-01-12,3.01974464,1.49107023,2.02521960,-0.00223778,-0.00401870,0.00178092
2021-01-13,3.05239364,1.51536647,2.01429403,0.01081184,0.01629450,-0.00548266
2021-01-14,2.99144201,1.49687976,1.99845178,-0.01996847,-0.01219950,-0.00776897
2021-01-15,2.94912846,1.48035651,1.99217449,-0.01414486,-0.01103846,-0.00310640
2021-01-18,3.00087465,1.49715099,2.00439012,0.01754626,0.01134489,0.00620137
2021-01-19,3.01572291,1.49894880,2.01189188,0.00494798,0.00120082,0.00374716
2021-01-20,3.04342924,1.49862242,2.03081790,0.00918729,-0.00021773,0.00940503
2021-01-21,3.16718802,1.52304377,2.07951215,0.04066425,0.01629586,0.02436839
2021-01-22,3.23577428,1.52002699,2.12876107,0.02165526,-0.00198076,0.02363601
2021-01-25,3.32559291,1.52743762,2.17723648,0.02775800,0.00487533,0.02288267
2021-01-26,3.24912931,1.50958340,2.15233507,-0.02299247,-0.01168900,-0.01130347
2021-01-27,3.16619308,1.49833650,2.11313885,-0.02552568,-0.00745033,-0.01807534
2021-01-28,3.15723359,1.47684756,2.13781955,-0.00282974,-0.01434186,0.01151213
2021-01-29,3.11989621,1.45346032,2.14653002,-0.01182598,-0.01583592,0.00400994
2021-02-01,3.11984461,1.45242755,2.14802081,-0.00001654,-0.00071056,0.00069402
2021-02-02,3.15285272,1.46696711,2.14923205,0.01058005,0.01001052,0.00056953
2021-02-03,3.21275167,1.47162249,2.18313574,0.01899833,0.00317348,0.01582486
2021-02-04,3.19760627,1.43837940,2.22306177,-0.00471415,-0.02258941,0.01787526
