canonical,surface,has_evidence
ts_huber_regression_resid_z,daily,False
ts_hurst_dfa,daily,True
ts_hvg_degree_entropy,daily,True
ts_hvg_forward_backward_asymmetry,daily,True
ts_hysteresis_age,daily,True
ts_hysteresis_state,daily,True
ts_impulse_return,daily,True
ts_impulse_strength,daily,True
ts_impulse_volume,daily,True
ts_industry_liquidity_beta,daily,True
ts_interval_exploration_efficiency,daily,True
ts_interval_nesting_depth,daily,True
ts_interval_occupancy_entropy,daily,True
ts_interval_occupancy_mode_distance,daily,True
ts_interval_overlap_connected_component_ratio,daily,True
ts_interval_union_coverage,daily,True
ts_joint_energy_shift,daily,True
ts_jump_bipower_proxy,daily,True
ts_kama,extended,False
ts_km_diffusion_gradient,daily,True
ts_km_equilibrium_distance,daily,True
ts_km_quasipotential_depth,daily,True
ts_kramers_moyal_local_stability,daily,True
ts_ks_shift,daily,True
ts_kurt,daily,True
ts_l1_trend_filter_trailing,extended,False
ts_l_kurtosis,daily,True
ts_l_skewness,daily,True
ts_lag_of_peak_corr,daily,True
ts_lagged_mutual_information,daily,True
ts_last_if,daily,True
ts_last_pivot_high,daily,True
ts_last_pivot_low,daily,True
ts_lempel_ziv_complexity,daily,True
ts_level_shift_score,daily,True
ts_leverage_effect,daily,True
ts_line_convergence,daily,True
ts_line_parallelism,daily,True
ts_location_shift,daily,True
ts_log_return,daily,True
ts_lower_partial_moment,daily,True
ts_lower_tail_coexceedance_probability,daily,True
ts_mad,daily,True
ts_market_liquidity_beta,daily,True
ts_markov_committor,daily,True
ts_markov_mean_first_passage_time,daily,True
ts_markov_persistence,daily,True
ts_markov_spectral_gap,daily,True
ts_markov_state_entropy,daily,True
ts_markov_stationary_surprisal,daily,True
ts_markov_transition_surprisal,daily,True
ts_mass_concentration,daily,True
ts_matrix_profile_motif_age,daily,True
ts_matrix_profile_novelty,daily,True
ts_max,daily,True
ts_max_buildup,daily,True
ts_max_chord_excursion,daily,True
ts_max_drawdown,daily,True
ts_max_drawdown_activity_cost,daily,True
ts_max_if,daily,True
ts_mean,daily,True
ts_mean_abs_deviation,extended,True
ts_mean_excess_slope,daily,True
ts_mean_if,daily,True
ts_mean_reversion_half_life,daily,False
ts_median,daily,True
ts_median3_causal,extended,False
ts_median_abs_deviation,extended,True
ts_min,daily,True
ts_min_if,daily,True
ts_mmd_rbf_shift,daily,True
ts_moment,daily,True
ts_monotonicity,daily,True
ts_multi_regression_adjusted_r2_prior,daily,True
ts_multi_regression_coeff,daily,False
ts_multi_regression_coeff_prior,daily,True
ts_multi_regression_coeff_stability,daily,True
ts_multi_regression_forecast_error,daily,True
ts_multi_regression_forecast_error_z,daily,True
ts_multi_regression_r2,daily,False
ts_multi_regression_r2_prior,daily,True
ts_multi_regression_resid,daily,False
ts_multi_regression_resid_z,daily,False
ts_multifractal_curvature,daily,True
ts_multifractal_spectrum_width,daily,True
ts_multiscale_trend_consensus,daily,True
ts_multiscale_trend_curvature,daily,True
ts_multiscale_trend_dispersion,daily,True
ts_mutual_information,daily,True
ts_nearest_structural_level_distance,daily,True
ts_negative_ratio,daily,True
ts_new_high,daily,True
ts_new_low,daily,True
ts_nth_pivot_high,daily,True
ts_nth_pivot_high_age,daily,True
ts_nth_pivot_low,daily,True
ts_nth_pivot_low_age,daily,True
ts_nth_value,daily,True
ts_opening_mispricing_score,daily,True
ts_ordinal_irreversibility,daily,True
ts_overnight_intraday_cov,daily,True
ts_overnight_intraday_sign_agreement,daily,True
ts_overnight_intraday_spread,daily,True
ts_partial_corr,daily,True
ts_path_efficiency,daily,True
ts_pattern_symmetry,daily,True
ts_pct,daily,True
ts_permutation_entropy,daily,True
ts_permutation_transition_entropy,daily,True
ts_persistence_entropy_h0,daily,True
ts_persistence_entropy_h1,daily,True
ts_pivot_high_age,daily,True
ts_pivot_high_count,daily,True
ts_pivot_high_spacing,daily,True
ts_pivot_low_age,daily,True
ts_pivot_low_count,daily,True
ts_pivot_low_spacing,daily,True
ts_poly2_coeff,daily,True
ts_poly2_forecast_error,extended,True
ts_poly2_forecast_error_z,extended,True
ts_poly2_prior_coeff,extended,True
ts_poly2_resid,daily,True
ts_positive_ratio,daily,True
ts_prev_high,daily,True
ts_prev_low,daily,True
ts_price_delay,daily,True
ts_product,daily,True
ts_qn_scale,daily,True
ts_quantile,daily,True
ts_quantile_beta_spread,daily,True
ts_quantile_if,daily,True
ts_quantile_kurtosis,daily,True
ts_quantile_range,daily,True
ts_quantile_regression_coeff,daily,False
ts_quantile_regression_resid,daily,False
ts_quantile_regression_slope,daily,False
ts_quantile_skew,daily,True
ts_quantile_transport_curvature,daily,True
ts_quantile_transport_slope,daily,True
ts_range_expansion,daily,True
ts_rank,daily,True
ts_rank_if,daily,True
ts_ratio,daily,True
ts_realized_quarticity,daily,True
ts_recovery_fraction,daily,True
ts_recurrence_determinism,daily,True
ts_recurrence_diagonal_entropy,daily,True
ts_recurrence_divergence,daily,True
ts_recurrence_laminarity,daily,True
ts_recurrence_rate,daily,True
ts_recurrence_trapping_time,daily,True
ts_regression_forecast_error,daily,True
ts_regression_forecast_error_z,daily,True
ts_regression_in_sample_resid,daily,True
ts_regression_intercept,daily,True
ts_regression_r2,daily,True
ts_regression_resid,daily,True
ts_regression_resid_if,daily,True
ts_regression_resid_mean,daily,True
ts_regression_slope,daily,True
ts_regression_tstat,daily,True
ts_resistance_break,daily,True
ts_resistance_fit_r2,daily,True
ts_resistance_level,daily,True
ts_resistance_slope,daily,True
ts_response_slope_asymmetry,daily,True
ts_returns,extended,False
ts_ridge_regression_coeff,daily,False
ts_ridge_regression_coeff_prior,daily,True
ts_ridge_regression_forecast_error,daily,True
ts_ridge_regression_forecast_error_z,daily,True
ts_ridge_regression_resid_z,daily,False
ts_robust_ema,extended,False
ts_robust_zscore_inclusive,extended,True
ts_robust_zscore_prior,extended,True
ts_rolling_median_causal,extended,False
ts_roughness,daily,True
ts_run_concentration,daily,True
ts_run_efficiency,daily,True
ts_run_strength,daily,True
ts_sample_entropy,daily,True
ts_scale_shift,daily,True
ts_semivariance_balance,daily,True
ts_sharpe,daily,True
ts_sign_cluster_index,daily,True
ts_sign_persistence,daily,True
ts_skew,daily,True
ts_sma,extended,False
ts_sma_cn,daily,True
ts_spectral_centroid,daily,True
ts_spectral_entropy,daily,True
ts_spectral_flatness,daily,True
ts_spectral_lowpass_trailing,extended,False
ts_spectral_peak_concentration,daily,True
ts_spectral_quality_factor,daily,True
ts_ssa_denoise_trailing,extended,False
ts_ssa_reconstruction_residual,daily,True
ts_staleness,daily,True
ts_state_age_percentile,daily,True
ts_state_density,daily,True
ts_state_entry_strength,daily,True
ts_state_exit_hazard,daily,True
ts_state_integral,daily,True
ts_state_residual_life,daily,True
ts_std,daily,True
ts_std_if,daily,True
ts_stratified_mean_spread,daily,True
ts_structural_level_density,daily,True
ts_structural_level_strength,daily,True
ts_student_t_kalman_filter,extended,False
ts_sum,daily,True
ts_sum_decay,daily,True
ts_sum_if,daily,True
ts_super_smoother,extended,False
ts_support_break,daily,True
ts_support_fit_r2,daily,True
ts_support_level,daily,True
ts_support_slope,daily,True
ts_swing_amplitude,daily,True
ts_swing_amplitude_atr,daily,True
ts_swing_amplitude_pct,daily,True
ts_swing_duration,daily,True
ts_swing_velocity,daily,True
ts_tail_imbalance,daily,True
ts_tail_mean,daily,True
ts_tail_ratio,daily,True
ts_threshold_cycle_asymmetry,daily,True
ts_threshold_cycle_period,daily,True
ts_time_since_change,daily,True
ts_time_slope,daily,True
ts_time_under_water,daily,True
ts_topk_mean,daily,True
ts_topk_std,daily,True
ts_topk_sum,daily,True
ts_total_variation_filter_trailing,extended,False
ts_transfer_entropy_peak_lag,daily,True
ts_transfer_entropy_peak_strength,daily,True
ts_transition_count,daily,True
ts_transition_intensity,daily,True
ts_trend_break_score,daily,True
ts_trend_tstat,daily,True
ts_trimmed_mean,daily,True
ts_true_streak,daily,True
ts_turning_intensity,daily,True
ts_turning_rate,daily,True
ts_turnover_age_dispersion,daily,True
ts_turnover_cost_dispersion,daily,True
ts_turnover_cost_entropy,daily,True
ts_turnover_cost_mode_distance,daily,True
ts_turnover_cost_quantile_distance,daily,True
ts_turnover_cost_skew,daily,True
ts_turnover_holding_age,daily,True
ts_turnover_near_cost_mass,daily,True
ts_turnover_profit_share,daily,True
ts_turnover_reference_price,daily,True
ts_upper_partial_moment,daily,True
ts_upper_tail_coexceedance_probability,daily,True
ts_upside_deviation,daily,True
ts_valid_count,daily,True
ts_value_at_argextreme,daily,True
ts_var,daily,True
ts_variance_ratio_slope,daily,True
ts_variogram_slope,daily,True
ts_vector_path_curvature,daily,True
ts_vector_path_efficiency,daily,True
ts_vector_self_intersection_rate,daily,True
ts_vector_state_local_density,daily,True
ts_vector_state_mahalanobis,daily,True
ts_vector_turning_coherence,daily,True
ts_vol_acceleration,daily,True
ts_vol_clustering,daily,True
ts_vol_of_vol,daily,True
ts_vol_pvariation_roughness,daily,True
ts_vol_scaling_break,daily,True
ts_vol_shift_score,daily,True
ts_vol_term_structure,daily,True
ts_wasserstein_shift,daily,True
ts_wavelet_shrinkage_trailing,extended,False
ts_weighted_drawdown_area,daily,True
ts_weighted_expected_shortfall,daily,True
ts_weighted_permutation_entropy,daily,True
ts_weighted_semivariance,daily,True
ts_weighted_standardized_moment,daily,True
ts_weighted_time_centroid,daily,True
ts_zero_ratio,daily,True
ts_zscore,daily,True
ttm_from_cumulative,daily,False
ttm_from_quarterly,daily,False
turnover_acceleration,daily,True
turnover_adjusted_volatility,daily,True
turnover_autocorr,daily,True
turnover_momentum,daily,True
turnover_shock,daily,True
turnover_volatility,daily,True
turnover_zscore,daily,True
ulcer_index,daily,True
unitize,daily,True
up_down_volume_ratio,daily,True
up_volume_ratio,daily,True
valuation_cashflow_disagreement,daily,True
valuation_growth_mismatch,daily,True
valuation_pcf_definition_gap,daily,False
valuation_pe_ttm_lyr_gap,daily,False
valuation_quality_mismatch,daily,True
volume_acceleration,daily,True
volume_autocorr,daily,True
volume_momentum,daily,True
volume_price_range_density,daily,True
volume_shock,daily,True
volume_volatility,daily,True
volume_weighted_momentum,daily,True
volume_weighted_return,daily,True
volume_zscore,daily,True
vwap_deviation,daily,True
vwap_to_close_return,daily,True
where,daily,True
winsorize,daily,True
winsorize_mean,daily,True
yang_zhang_vol,daily,True
yoy_by_period,daily,False
zero_return_ratio,daily,True
zmijewski_score,daily,True
zscore,daily,True
