canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
cs_ridge_resid,daily,False,False,False,False,False,False
cs_robust_mahalanobis_mad,daily,False,False,False,False,False,False
cs_robust_scale,extended,False,False,False,False,False,False
cs_shrinkage_mahalanobis,daily,False,False,False,False,False,False
cs_spline_resid,daily,False,False,False,False,False,False
cs_std,daily,True,True,True,True,True,True
cs_sum,daily,True,True,True,True,True,True
cs_tail_retention,daily,False,False,False,False,False,False
cs_trim_mean,extended,False,False,False,False,False,False
cs_valid_count,daily,False,False,False,False,False,False
cs_weighted_demean,daily,False,False,False,False,False,False
cs_weighted_mean,daily,False,False,False,False,False,False
cs_weighted_percentile_rank,daily,False,False,False,False,False,False
cs_weighted_zscore,daily,False,False,False,False,False,False
cs_wls_resid,daily,False,False,False,False,False,False
csc,unsafe,False,False,False,False,False,False
cube,legacy,False,False,False,False,False,False
date_diff_days,daily,False,False,False,False,False,False
digital_count,daily,False,False,False,False,False,False
directional_change_extent,daily,False,False,False,False,False,False
directional_change_state,daily,False,False,False,False,False,False
divide,daily,True,True,True,True,True,True
dollar_volume,daily,False,False,False,False,False,False
dollar_volume_zscore,daily,False,False,False,False,False,False
donchian_lower,daily,False,False,False,False,False,False
donchian_mid,daily,False,False,False,False,False,False
donchian_position,daily,False,False,False,False,False,False
donchian_upper,daily,False,False,False,False,False,False
down_volume_ratio,daily,False,False,False,False,False,False
earnings_yield,daily,False,False,False,False,False,False
efficiency_ratio,daily,False,False,False,False,False,False
eq,daily,True,True,True,True,True,True
event_abnormal_return_past,daily,False,False,False,False,False,False
event_active_count,daily,False,False,False,False,False,False
event_allan_factor,daily,False,False,False,False,False,False
event_arithmetic_return_sum,daily,False,False,False,False,False,False
event_cluster_count,daily,False,False,False,False,False,False
event_cluster_mean_size,daily,False,False,False,False,False,False
event_cumulative_return_past,daily,False,False,False,False,False,False
event_decay_asof,daily,False,False,False,False,False,False
event_fano_factor,daily,False,False,False,False,False,False
event_frequency,daily,False,False,False,False,False,False
event_historical_response_mean,daily,False,False,False,False,False,False
event_historical_response_sign_balance,daily,False,False,False,False,False,False
event_interval_memory,daily,False,False,False,False,False,False
event_level_survival_share,daily,False,False,False,False,False,False
event_local_variation,daily,False,False,False,False,False,False
event_log_return_sum,daily,False,False,False,False,False,False
event_refractory,daily,False,False,False,False,False,False
event_response_decay_rate,daily,False,False,False,False,False,False
event_response_dispersion,daily,False,False,False,False,False,False
event_response_peak_lag,daily,False,False,False,False,False,False
event_response_reversal_strength,daily,False,False,False,False,False,False
event_return_since_last,daily,False,False,False,False,False,False
exp,daily,True,True,True,True,True,True
exp_neg,daily,False,False,False,False,False,False
expanding_rank,daily,False,False,False,False,False,False
ffill_limit,daily,False,False,False,False,False,False
fillna_const,daily,True,True,True,True,True,True
fin_accrual_ratio,daily,False,False,False,False,False,False
fin_acquisition_cash_intensity,daily,False,False,False,False,False,False
fin_actual_expectation_divergence,daily,False,False,False,False,False,False
fin_announcement_lag,daily,False,False,False,False,False,False
fin_applicability_mask,daily,False,False,False,False,False,False
fin_average_balance,daily,False,False,False,False,False,False
fin_beat_streak,daily,False,False,False,False,False,False
fin_borrowing_intensity,daily,False,False,False,False,False,False
fin_cagr,daily,False,False,False,False,False,False
fin_capex_growth,daily,False,False,False,False,False,False
fin_capex_intensity,daily,False,False,False,False,False,False
fin_cash_burn_runway,daily,False,False,False,False,False,False
fin_cash_conversion,daily,False,False,False,False,False,False
fin_cash_earnings_gap,daily,False,False,False,False,False,False
fin_cash_sales_divergence,daily,False,False,False,False,False,False
fin_cashflow_persistence,daily,False,False,False,False,False,False
fin_common_size,daily,False,False,False,False,False,False
fin_component_score,daily,False,False,False,False,False,False
fin_comprehensive_income_gap,daily,False,False,False,False,False,False
fin_contract_asset_growth,daily,False,False,False,False,False,False
fin_contract_asset_intensity,daily,False,False,False,False,False,False
fin_contract_asset_liability_gap,daily,False,False,False,False,False,False
fin_contract_liability_growth,daily,False,False,False,False,False,False
fin_contract_liability_intensity,daily,False,False,False,False,False,False
fin_core_earnings_ratio,daily,False,False,False,False,False,False
fin_cv,daily,False,False,False,False,False,False
fin_days_since_expectation_revision,daily,False,False,False,False,False,False
fin_days_since_update,daily,False,False,False,False,False,False
fin_debt_repayment_intensity,daily,False,False,False,False,False,False
fin_debt_service_coverage_proxy,daily,False,False,False,False,False,False
fin_deferred_tax_gap,daily,False,False,False,False,False,False
fin_delta_noa,daily,False,False,False,False,False,False
fin_diff,daily,False,False,False,False,False,False
fin_discontinued_operation_ratio,daily,False,False,False,False,False,False
fin_divergence,daily,False,False,False,False,False,False
fin_earnings_cash_gap_volatility,daily,False,False,False,False,False,False
fin_earnings_persistence,daily,False,False,False,False,False,False
fin_earnings_smoothness,daily,False,False,False,False,False,False
fin_equity_capital_growth,daily,False,False,False,False,False,False
fin_expectation_dispersion,daily,False,False,False,False,False,False
fin_expectation_revision,daily,False,False,False,False,False,False
fin_expectation_revision_count,daily,False,False,False,False,False,False
