canonical,model_family,lane,explicit_timing,role,cost_class,stateful
ts_km_diffusion_gradient,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_km_equilibrium_distance,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_km_quasipotential_depth,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_kramers_moyal_local_stability,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_level_shift_score,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_lo_mackinlay_vr,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_lo_mackinlay_z,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_local_lyapunov_exponent,kernel,DIAGNOSTIC_RESEARCH,False,,,False
ts_lz_complexity,generic,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_committor,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_entropy_production,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_mean_first_passage_time,dmd,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_persistence,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_spectral_gap,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_state_entropy,entropy,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_stationary_surprisal,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_markov_transition_surprisal,state,DIAGNOSTIC_RESEARCH,False,,,False
ts_matrix_profile_discord_score,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_matrix_profile_motif_age,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_matrix_profile_motif_frequency,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_matrix_profile_neighbor_dispersion,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_matrix_profile_novelty,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_mean_reversion_half_life,ar,FAST_NATIVE_ALPHA,False,,,False
ts_mean_reversion_ou_approx_half_life,ar,FAST_NATIVE_ALPHA,False,,,False
ts_motif_recurrence_count,matrix_profile,EXPENSIVE_CERTIFIED_ALPHA,True,,,False
ts_multi_regression_adjusted_r2_prior,regression,FAST_NATIVE_ALPHA,False,,,False
ts_multi_regression_coeff,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_multi_regression_coeff_prior,regression,FAST_NATIVE_ALPHA,False,,,False
ts_multi_regression_coeff_stability,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_multi_regression_forecast_error,regression,FAST_NATIVE_ALPHA,False,,,False
ts_multi_regression_forecast_error_z,regression,FAST_NATIVE_ALPHA,False,,,False
ts_multi_regression_r2,regression,DIAGNOSTIC_RESEARCH,False,,,False
ts_multi_regression_r2_prior,regression,FAST_NATIVE_ALPHA,False,,,False
