canonical	inspection_scope	schema_discovery_status	research_callable	contract_status	panel_params	unknown_parameters	unresolved_reason	numerical_evidence_status	production_callable
asin_bounded	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
atan	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x			UNVERIFIED_NO_TRUSTED_PASS	false
atan2	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	y,x			UNVERIFIED_NO_TRUSTED_PASS	false
atr_acceleration	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
atr_pct	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
atr_percentile	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
atr_short_long_ratio	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
atr_zscore	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
average_turnover	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		turnover,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
avg2	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x,y			UNVERIFIED_NO_TRUSTED_PASS	false
baseline_scaled_wasserstein_distance	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	x,y			UNVERIFIED_NO_TRUSTED_PASS	false
benchmark_excess_return	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	ret,benchmark_ret			UNVERIFIED_NO_TRUSTED_PASS	false
benchmark_relative_price	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		benchmark_price,denominator,numerator,price	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
beta_divergence_pct	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		market_ret,ret	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
beta_residual_z	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		market_ret,ret	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
bollinger_pct_b	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		std_dev,window,x	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
bollinger_width	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		std_dev,window,x	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
book_to_price	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	pb			UNVERIFIED_NO_TRUSTED_PASS	false
bounded_nvi	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,volume,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
bounded_pvi	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,volume,window	MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
bvc_imbalance_ma	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,volume	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
bvc_sign_pct	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,volume	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
calendar_day_diff	all runtime canonicals; metadata/topology/schema discovery only	SCOPED_CHECKED_SCHEMA_DISCOVERY	true	declared	date1,date2			UNVERIFIED_NO_TRUSTED_PASS	false
candle_abs_body	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,open	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
candle_body	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,open	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
candle_body_percentile	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,open	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
candle_body_position	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low,open	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
candle_body_ratio	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low,open	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
candle_body_strength	all runtime canonicals; metadata/topology/schema discovery only	UNVERIFIED	false	unknown		close,high,low,open	NO_CONCRETE_SIGNATURE_OR_PANEL_DECLARATION;MISSING_AUTHORITATIVE_PARAM_SPEC	UNVERIFIED_NO_TRUSTED_PASS	false
