canonical,model_family,category,source_file,surface,descriptive_or_predictive,fit_cutoff_offset,feature_cutoff,score_time,forecast_horizon,label_horizon,label_used,label_maturity_enforced,purge,embargo,scaler_scope,pca_scope,hyperparam_scope,filter_or_smoother,timing_contract_source,in_sample_looks_predictive
ts_change_point_probability,generic,time_series_regression,cleaned_operators.ts_model.complexity,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_conditional_transfer_entropy,entropy,conditional_dependence,cleaned_operators.conditional_dependence,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_cross_spectral_coherence,spectral,time_series_spectral,cleaned_operators.gemini_v2_common,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_cross_spectral_phase,spectral,time_series_spectral,cleaned_operators.gemini_v2_common,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_cumulative_deviation_score,generic,time_series_regression,cleaned_operators.regression_models,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_cusum_pressure,generic,time_series_regression,cleaned_operators.stateful.sequential,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_cusum_vol_break_score,generic,time_series_regression,cleaned_operators.ts_model.complexity,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_detrended_level_spectral_entropy,entropy,spectral,cleaned_operators.spectral_ext,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_dfa_hurst,generic,time_series_regression,cleaned_operators.ts_model.complexity,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_dmd_dominant_frequency,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,research,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_dominant_growth_rate,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,research,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_level_dominant_frequency,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_level_dominant_growth_rate,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_level_mode_concentration,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_mode_concentration,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,research,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_return_dominant_frequency,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_return_dominant_growth_rate,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dmd_return_mode_concentration,dmd,dynamic_mode,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_dominant_cycle_period,generic,spectral,cleaned_operators.spectral_ext,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
