date,ic
2021-11-01,0.05453546896499917
2021-11-02,0.05649319239923267
2021-11-03,-0.0034546443942417102
2021-11-04,0.006045398662848327
2021-11-05,0.12126708771004073
2021-11-08,0.07276098551266337
2021-11-09,0.11545483860920103
2021-11-10,0.10980061818987995
2021-11-11,0.13341239347950756
2021-11-12,0.1231790057293413
2021-11-15,0.12125746857290481
2021-11-16,0.10751538603887598
2021-11-17,0.03505442599402331
2021-11-18,0.0217346693856761
2021-11-19,-0.06259447366829918
2021-11-22,-0.07964920381027764
2021-11-23,0.007410400027849693
2021-11-24,-0.032793012658784475
2021-11-25,-0.0505096310465438
2021-11-26,-0.06510002986513055
2021-11-29,0.026489729509863738
2021-11-30,-0.018714718379147913
2021-12-01,-0.029488613402368406
2021-12-02,-0.1028221632248478
2021-12-03,-0.08108886800161968
2021-12-06,-0.09299003090949401
2021-12-07,-0.13598849001533567
2021-12-08,-0.05500176808901641
2021-12-09,-0.08685118920018249
2021-12-10,-0.06256470014859278
2021-12-13,-0.13885957342333183
2021-12-14,-0.09280772535806095
2021-12-15,-0.05600857110924226
2021-12-16,0.016859599074364177
2021-12-17,-0.048806127665188076
2021-12-20,-0.11613184264190977
2021-12-21,-0.1471746303961069
2021-12-22,-0.1906480916548031
2021-12-23,-0.13513559318928448
2021-12-24,-0.18270909713862737
2021-12-27,-0.215254760556774
2021-12-28,-0.27391500713648365
2021-12-29,-0.2490353379615125
2021-12-30,-0.19506006922114308
2021-12-31,-0.13424605203128695
2022-01-18,-0.25770447079171915
2022-01-19,-0.2035331548754368
2022-01-20,-0.18871510314463336
2022-01-21,-0.19048181799859654
2022-01-24,-0.1734614419178178
2022-01-25,-0.1310051048995662
2022-01-26,-0.14984691830329416
2022-01-27,-0.17259755179218267
2022-01-28,-0.16591866424081192
2022-02-07,0.042655376547994
2022-02-08,0.25075807961714003
2022-02-09,0.26779769397219066
2022-02-10,0.34238448332408067
2022-02-11,0.34534900977854
2022-02-14,0.25867829391319325
2022-02-15,0.21525109612357937
2022-02-16,0.0732378198821152
2022-02-17,0.09528579830593255
2022-02-18,-0.031727578707444484
2022-02-21,-0.03886085597494994
2022-02-22,-0.17295987262430218
2022-02-23,-0.11062419955037406
2022-02-24,-0.18869957252087222
2022-02-25,-0.22883196980140408
2022-02-28,-0.13319758133639922
2022-03-01,-0.03562424943524803
2022-03-02,0.1654180299981998
2022-03-03,0.08868364498005289
2022-03-04,0.19082354824587697
2022-03-07,0.09129478295731533
2022-03-08,0.1835784839140544
2022-03-09,-0.036680518224142394
2022-03-10,-0.01870967978350529
2022-03-11,-0.04132198565122337
2022-03-14,-0.1345529483113376
2022-03-15,-0.09504302960678801
2022-03-16,-0.1465429737241818
2022-03-17,-0.12716819931585033
2022-03-18,-0.17397812699826126
2022-03-21,-0.14755664755664757
2022-03-22,-0.1779137282492987
2022-03-23,-0.20759838545073447
2022-03-24,-0.14765926859508346
2022-03-25,-0.15507860152845918
2022-03-28,-0.18764236181449592
2022-03-29,-0.16001802901338325
2022-03-30,-0.09693662546011542
2022-03-31,-0.15335378087055943
2022-04-01,-0.12010408822489362
2022-04-20,0.09782144185457921
2022-04-21,0.21757401902287107
2022-04-22,0.2458331243514325
2022-04-25,0.30852432133110813
2022-04-26,0.25602741369465415
2022-04-27,0.23261340022849983
2022-04-28,0.1860486960473953
2022-04-29,0.11612518003592283
2022-05-05,0.12187107282566657
2022-05-06,0.09720584764634198
2022-05-09,0.02805080929421701
2022-05-10,-0.054783962353713044
2022-05-11,-0.01739259567603452
2022-05-12,0.005079330148838498
2022-05-13,-0.01755019032518478
2022-05-16,-0.003836457496759902
2022-05-17,0.005142154554307114
2022-05-18,0.06120231004279084
2022-05-19,0.1634075902951383
2022-05-20,0.16817912119119904
2022-05-23,0.10916351226474368
2022-05-24,0.061378818533434916
2022-05-25,0.13419025500999107
2022-05-26,0.06858003452905297
2022-05-27,0.03871972224845894
2022-05-30,-0.045621423370150266
2022-05-31,-0.07087956104823306
2022-06-01,-0.048251472561800124
2022-06-02,-0.05355615117191494
2022-06-06,-0.06187942292734973
2022-06-07,-0.05000987003813329
2022-06-08,0.04257719969771864
2022-06-09,0.07559264894148966
2022-06-10,0.07775989899289706
2022-06-13,0.08571286870763468
2022-06-14,0.15762708598595887
2022-06-15,0.07079944400418432
2022-06-16,0.07685901184705449
2022-06-17,0.06808684662798552
2022-06-20,0.044901193622919555
2022-06-21,0.07750677076417853
2022-06-22,0.09253725549397153
2022-06-23,0.01938238343935797
2022-06-24,-0.01673816877770641
2022-06-27,-0.06111656940290259
2022-06-28,-0.09662618766912152
2022-06-29,0.0017199907135343692
2022-06-30,0.09017000557227471
2022-07-01,0.024254906913872554
2022-07-18,0.1255177335038628
2022-07-19,0.11349811625511924
2022-07-20,0.09403544551054985
2022-07-21,0.11482857628204791
2022-07-22,0.14131955405657487
2022-07-25,0.1597430887306977
2022-07-26,0.07188871032854713
2022-07-27,0.12792006203362255
2022-07-28,0.13818468520763366
2022-07-29,0.11249109285771491
2022-08-01,0.06851727769692692
2022-08-02,-0.02669818265980629
2022-08-03,-0.04989335109800935
2022-08-04,-0.12819345507652324
2022-08-05,-0.045186701421606995
2022-08-08,-0.08460014366955404
2022-08-09,-0.11752598962578475
2022-08-10,-0.05416881631742131
2022-08-11,-0.016764625524825952
2022-08-12,-0.01172736632539501
2022-08-15,-0.02113476408830623
2022-08-16,0.04228378215588976
2022-08-17,0.014148047025110895
2022-08-18,-0.023062411131120713
2022-08-19,-0.08226914121025115
2022-08-22,-0.050794825615060976
2022-08-23,-0.04277574000199824
2022-08-24,-0.029804691035004265
2022-08-25,-0.12400339302524646
2022-08-26,-0.13734951499372527
2022-08-29,-0.07623599800260397
2022-08-30,-0.10253008608618419
2022-08-31,-0.0784888542846031
2022-09-01,-0.023689301602279424
2022-09-02,0.032952888191924705
2022-09-05,-0.0016808637467376343
2022-09-06,-0.04441147791470553
2022-09-07,-0.01155444240184907
2022-09-08,0.13546628507212038
2022-09-09,0.16929699360824466
2022-09-13,0.11639475154551215
2022-09-14,0.23994941231504974
2022-09-15,0.10579475025066623
2022-09-16,0.03676887029897585
2022-09-19,-0.05444164588574061
2022-09-20,-0.030169195346728225
2022-09-21,0.07238997070422659
2022-09-22,0.13339585730438383
2022-09-23,0.0709866815505467
2022-09-26,0.029836585558844008
2022-09-27,0.04844132148415494
2022-09-28,-0.02615983685741101
2022-09-29,0.02012637311108009
2022-09-30,0.05314208572848809
2022-10-24,0.18669462629194175
2022-10-25,0.16555954978773774
2022-10-26,0.09200017589279336
2022-10-27,0.10017552635002301
2022-10-28,-0.008474001762592366
2022-10-31,0.07304452103109822
2022-11-01,0.026744865671040167
2022-11-02,-0.0310029370432055
2022-11-03,-0.04654929487144253
2022-11-04,-0.04692627343634055
2022-11-07,-0.10172832991624939
2022-11-08,-0.14042016391009682
2022-11-09,-0.1693618572813204
2022-11-10,-0.20395593885526775
2022-11-11,-0.1039219512373875
2022-11-14,-0.2140848902593869
2022-11-15,-0.2387520223090693
2022-11-16,-0.1362308006603309
2022-11-17,-0.13746754686352003
2022-11-18,-0.1909417043645232
2022-11-21,-0.11174047751228962
2022-11-22,-0.047667863104104716
2022-11-23,-0.07555786414846818
2022-11-24,-0.07206199488078682
2022-11-25,-0.06332048949498616
2022-11-28,-0.07814678620047749
2022-11-29,-0.07467198742366528
2022-11-30,-0.03039967972853879
2022-12-01,-0.1910580501184528
2022-12-02,-0.03879993477308914
2022-12-05,-0.041037071238413526
2022-12-06,-0.12614673856284597
2022-12-07,-0.1379791933483209
2022-12-08,-0.12497595215716023
2022-12-09,-0.11784404905210276
2022-12-12,-0.0028339810219004855
2022-12-13,0.0010049708036285218
2022-12-14,-0.029325084694212213
2022-12-15,-0.030492664720852648
2022-12-16,-0.04062161612497184
2022-12-19,-0.07855078996018594
