canonical,aliases,source,backends,surface,lifecycle,role,public_loaded,raw_registry_callable,pit_safe,production_certified,allow_in_production,state_model,chunking,legacy_seed_fallback,final_disposition
cdl_three_black_crows,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
cdl_three_white_soldiers,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
cdl_tweezer_bottom,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
cdl_tweezer_top,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
ceil,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
choppiness_index,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
circulating_cap_ratio_change,[],,"['pandas_numpy', 'polars']",extended,experimental,factor,True,True,False,False,False,stateless,independent,False,KEEP_PRODUCTION_CONTEXTUAL
circulating_cap_unlock_proxy,[],,"['pandas_numpy', 'polars']",daily,production,factor,True,True,False,False,False,stateless,independent,False,KEEP_PRODUCTION_CONTEXTUAL
clip,"['clip', 'clip', 'clip']",,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
coalesce,['coalesce'],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
composition_aitchison_distance,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
composition_clr_component,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
composition_entropy,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
composition_ilr_balance,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
composition_js_divergence,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
composition_normalized_entropy,[],,"['pandas_numpy', 'polars']",extended,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
