canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
fin_net_debt_issuance,daily,,,,,[],OK
fin_noncore_income_ratio,daily,,,,,[],OK
fin_oci_to_equity,daily,,,,,[],OK
fin_other_earnings_dependence,daily,,,,,[],OK
fin_pct_change,daily,,,,,[],OK
fin_percentile_history,daily,,,,,[],OK
fin_percentile_vs_prior_history,extended,,,,,[],OK
fin_period_restated,extended,,,,,[],OK
fin_period_revision_age,extended,,,,,[],OK
fin_period_revision_count,extended,,,,,[],OK
fin_positive_streak,daily,,,,,[],OK
fin_qoq,daily,,,,,[],OK
fin_quarter_from_cumulative,daily,,,,,[],OK
fin_range,daily,,,,,[],OK
fin_ratio,daily,,,,,[],OK
fin_rd_capitalization_ratio,daily,,,,,[],OK
fin_rd_total_intensity,daily,,,,,[],OK
fin_receivable_sales_divergence,daily,,,,,[],OK
fin_restated_flag,daily,,,,,[],OK
fin_revision_count,daily,,,,,[],OK
fin_revision_delta,daily,,,,,[],OK
fin_revision_direction,daily,,,,,[],OK
fin_revision_magnitude,daily,,,,,[],OK
fin_revision_pct,daily,,,,,[],OK
fin_roe_cash_gap,daily,,,,,[],OK
fin_seasonal_percentile,daily,,,,,[],OK
fin_seasonal_zscore,daily,,,,,[],OK
fin_sign_change_count,daily,,,,,[],OK
fin_stability,daily,,,,,[],OK
fin_staleness,daily,,,,,[],OK
fin_std,daily,,,,,[],OK
fin_surprise,daily,,,,,[],OK
fin_surprise_event_percentile,daily,,,,,[],OK
fin_surprise_event_zscore,daily,,,,,[],OK
fin_surprise_zscore,daily,,,,,[],OK
fin_total_operating_accruals,daily,,,,,[],OK
fin_trend_acceleration,daily,,,,,[],OK
fin_trend_r2,daily,,,,,[],OK
fin_trend_slope,daily,,,,,[],OK
fin_trend_tstat,daily,,,,,[],OK
fin_ttm,extended,,,,,[],OK
fin_ttm_cumulative,daily,,,,,[],OK
fin_ttm_quarterly,daily,,,,,[],OK
fin_turnover,daily,,,,,[],OK
fin_working_capital_accruals,daily,,,,,[],OK
fin_working_capital_change,daily,,,,,[],OK
fin_yoy,daily,,,,,[],OK
fin_zscore_history,daily,,,,,[],OK
fin_zscore_vs_prior_history,extended,,,,,[],OK
fiscal_accrual_quality,daily,,,,,[],OK
fiscal_ar_resid_std,daily,,,,,[],OK
fiscal_asymmetric_elasticity,daily,,,,,[],OK
fiscal_autocorr,daily,,,,,[],OK
fiscal_change_direction_agreement,daily,,,,,[],OK
fiscal_direction_consistency,daily,,,,,[],OK
fiscal_pair_direction_agreement,daily,,,,,[],OK
fiscal_perpetual_inventory,daily,,,,,[],OK
fiscal_regression_resid_std,daily,,,,,[],OK
fiscal_reversal_ratio,daily,,,,,[],OK
fiscal_sign_agreement,daily,,,,,[],OK
fiscal_sign_consistency,daily,,,,,[],OK
fiscal_standardized_surprise,daily,,,,,[],OK
fiscal_true_streak,daily,,,,,[],OK
fix,daily,,,,,['x'],OK
flex_max,daily,,,,,"['x', 'y_or_window']",OK
flex_min,daily,,,,,"['x', 'y_or_window']",OK
float_share_ratio,daily,,,,,[],OK
floor,daily,,,,,['x'],OK
free_float_ratio,daily,,,,,[],OK
free_float_share_ratio,daily,,,,,[],OK
free_float_turnover,daily,,,,,[],OK
free_to_circulating_ratio,daily,,,,,[],OK
fundamental_staleness,daily,,,,,[],OK
garman_klass_vol,daily,,,,,[],OK
ge,daily,,,,,"['x', 'y']",OK
group_corr_mst_length,daily,,,,,"['x', 'group_id']",OK
group_count,daily,,,,,['x'],OK
group_current_members_tail_coexceedance,daily,,,,,"['x', 'group_id']",OK
group_decay_linear,daily,,,,,['x'],OK
group_distribution_js_divergence,daily,,,,,[],OK
group_ex_self_mad,daily,,,,,"['x', 'group']",OK
group_ex_self_mean,daily,,,,,"['x', 'group']",OK
group_ex_self_quantile,daily,,,,,"['x', 'group']",OK
group_ex_self_std,daily,,,,,"['x', 'group']",OK
group_ex_self_weighted_mean,daily,,,,,"['x', 'weight', 'group']",OK
group_feature_coverage_ratio,extended,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_feature_effective_rank,daily,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_feature_mode_localization,daily,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_feature_mode_share,daily,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_feature_second_mode_localization,daily,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_feature_spectral_gap,daily,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_feature_valid_member_count,extended,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_impute_median,daily,,,,,[],OK
group_kurtosis,daily,,,,,"['x', 'group']",OK
group_leader_laggard_exposure,daily,,,,,[],OK
group_max,daily,,,,,['x'],OK
group_mean,daily,,,,,['x'],OK
group_min,daily,,,,,['x'],OK
group_multi_level_rank_consistency,daily,,,,,[],OK
group_neutralize,daily,,,,,['x'],OK
group_normalize,daily,,,,,['x'],OK
group_peer_beta_deviation,daily,,,,,[],OK
group_peer_deviation_index,daily,,,,,[],OK
group_peer_information_diffusion,daily,,,,,[],OK
group_percentile,daily,,,,,['x'],OK
group_quantile_spread,daily,,,,,"['x', 'group']",OK
group_rank,daily,,,,,['x'],OK
group_rank_weighted_value,daily,,,,,['x'],OK
group_return_dispersion_exposure,daily,,,,,[],OK
group_signal_attraction_share,extended,,,,,"['x', 'group']",OK
group_skewness,daily,,,,,"['x', 'group']",OK
group_spd_feature_structure_shift,extended,,,,,"['f1', 'f2', 'f3', 'group']",OK
group_std,daily,,,,,['x'],OK
group_sum,daily,,,,,['x'],OK
group_tail_centrality,extended,,,,,"['x', 'group_id']",OK
group_tail_lead_score,extended,,,,,"['x', 'group_id']",OK
group_tail_ratio,daily,,,,,"['x', 'group']",OK
group_topk_mean,daily,,,,,[],OK
