canonical,semantic_version,surface,role,status,source_module,backends,parameter_domain_status,semantic_golden_status,pit_status,source_pit_status,backend_parity_status,batch_parity_status,chunk_status,incremental_status,checkpoint_status,optimizer_diff_status,numeric_stress_status,shape_status,null_inf_status,determinism_status,current_sha,evidence_hash,final_production_ready,reason
abnormal_volume,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,bf22cbdeb4761180,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
abs,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,d0c877ac0177b1ac,False,e;m;p;t;y; ;p;a;r;a;m;s
abs_return_volume_corr,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,08a235d405a41f91,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
acos,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,518cdfb224c2fe86,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
acos_bounded,,extended,extended,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,7168cbf4f225d479,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
add,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,38c6a0b1279da2de,False,e;m;p;t;y; ;p;a;r;a;m;s
adv,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,512c0389450bb86b,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
altman_z_score,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,11e1a463c483c169,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
amihud_illiquidity,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,32471d117645b427,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
and_,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,04c8f03371214ff7,False,e;m;p;t;y; ;p;a;r;a;m;s
